date,trend,days_to_event_happen,event_title,event_votes,event_confidence
2017-05-31,1.4267026753312515,,,,
2017-06-01,3.8045404675500043,,,,
2017-06-02,0.47556755844375054,,,,
2017-06-03,4.755675584437506,,,,
2017-06-04,1.9022702337750022,,,,
2017-06-05,2.853405350662503,,,,
2017-06-06,6.657945818212507,,,,
2017-06-07,2.853405350662503,,,,
2017-06-08,2.377837792218753,,,,
2017-06-09,3.872478690184826,,,,
2017-06-10,1.9022702337750022,,,,
2017-06-11,3.3289729091062537,,,,
2017-06-12,7.439235378512954,,,,
2017-06-13,31.964933749683517,,,,
2017-06-14,22.07992235631699,,,,
2017-06-15,20.65321968098574,,,,
2017-06-16,15.116254536247785,,,,
2017-06-17,12.262849185585281,,,,
2017-06-18,12.025065406363407,,,,
2017-06-19,7.67701915773483,,,,
2017-06-20,7.914802936956705,,,,
2017-06-21,7.439235378512954,,,,
2017-06-22,6.963667820069205,,,,
2017-06-23,7.439235378512954,,,,
2017-06-24,10.530424508397333,,,,
2017-06-25,8.628154274622332,,,,
2017-06-26,9.817073170731707,,,,
2017-06-27,8.628154274622332,,,,
2017-06-28,12.738416744029031,,,,
2017-06-29,8.865938053844207,,,,
2017-06-30,7.2014515992910795,,,,
2017-07-01,6.488100261625453,,,,
2017-07-02,6.725884040847329,,,,
2017-07-03,5.774748923959828,,,,
2017-07-04,6.250316482403578,,,,
2017-07-05,4.042324246771879,,,,
2017-07-06,7.914802936956705,,,,
2017-07-07,6.250316482403578,,,,
2017-07-08,1.6644864545531268,,,,
2017-07-09,6.012532703181703,,,,
2017-07-10,6.963667820069205,,,,
2017-07-11,6.488100261625453,,,,
2017-07-12,6.963667820069205,,,,
2017-07-13,6.012532703181703,,,,
2017-07-14,3.872478690184826,,,,
2017-07-15,4.823613807072327,,,,
2017-07-16,6.963667820069205,,,,
2017-07-17,13.213984302472783,,,,
2017-07-18,11.005992066841085,,,,
2017-07-19,8.15258671617858,,,,
2017-07-20,7.439235378512954,,,,
2017-07-21,7.439235378512954,,,,
2017-07-22,5.299181365516077,,,,
2017-07-23,5.774748923959828,,,,
2017-07-24,6.488100261625453,,,,
2017-07-25,6.488100261625453,,,,
2017-07-26,9.341505612287957,,,,
2017-07-27,7.2014515992910795,,,,
2017-07-28,6.488100261625453,,,,
2017-07-29,6.963667820069205,,,,
2017-07-30,8.390370495400456,,,,
2017-07-31,6.488100261625453,,,,
2017-08-01,6.725884040847329,,,,
2017-08-02,6.250316482403578,,,,
2017-08-03,8.865938053844207,,,,
2017-08-04,13.92733564013841,,,,
2017-08-05,8.390370495400456,,,,
2017-08-06,6.012532703181703,,,,
2017-08-07,15.116254536247785,,,,
2017-08-08,12.976200523250906,,,,
2017-08-09,18.51316566798886,,,,
2017-08-10,13.689551860916534,,,,
2017-08-11,24.21997636931387,,,,
2017-08-12,21.60435479787324,,,,
2017-08-13,29.519157734829946,,,,
2017-08-14,28.330238838720568,,,,
2017-08-15,42.25757447885898,,,,
2017-08-16,35.76947421723352,,,,
2017-08-17,47.556755844375054,,,,
2017-08-18,26.66575238416744,,,,
2017-08-19,23.268841252426366,,,,
2017-08-20,23.03105747320449,,,,
2017-08-21,26.903536163389315,,,,
2017-08-22,16.542957211579036,,,,
2017-08-23,17.256308549244665,,,,
2017-08-24,15.35403831546966,,,,
2017-08-25,17.256308549244665,,,,
2017-08-26,16.067389653135287,,,,
2017-08-27,15.82960587391341,,,,
2017-08-28,19.464300784876365,,,,
2017-08-29,22.317706135538863,,,,
2017-08-30,21.842138577095113,,,,
2017-08-31,22.317706135538863,,,,
2017-09-01,18.98873322643261,,,,
2017-09-02,21.842138577095113,,,,
2017-09-03,16.067389653135287,,,,
2017-09-04,19.939868343320114,,,,
2017-09-05,21.842138577095113,,,,
2017-09-06,19.396362562241542,,,,
2017-09-07,15.82960587391341,,,,
2017-09-08,24.050130812726813,,,,
2017-09-09,18.750949447210736,,,,
2017-09-10,9.103721833066082,,,,
2017-09-11,13.213984302472783,,,,
2017-09-12,17.56203055110136,,,,
2017-09-13,16.78074099080091,,,,
2017-09-14,15.116254536247785,,,,
2017-09-15,13.92733564013841,,,,
2017-09-16,9.103721833066082,,,,
2017-09-17,12.432694742172334,,,,
2017-09-18,13.5876445269643,,,,
2017-09-19,6.79382226348215,,,,
2017-09-20,13.5876445269643,,,,
2017-09-21,13.5876445269643,,,,
2017-09-22,6.79382226348215,,,,
2017-09-23,6.79382226348215,,,,
2017-09-24,6.79382226348215,,,,
2017-09-25,13.5876445269643,,,,
2017-09-26,6.79382226348215,,,,
2017-09-27,6.79382226348215,,,,
2017-09-28,13.5876445269643,,,,
2017-09-29,6.79382226348215,,,,
2017-09-30,13.5876445269643,,,,
2017-10-01,6.79382226348215,,,,
2017-10-02,6.79382226348215,,,,
2017-10-03,6.79382226348215,,,,
2017-10-04,6.79382226348215,,,,
2017-10-05,6.79382226348215,,,,
2017-10-06,6.79382226348215,,,,
2017-10-07,13.5876445269643,,,,
2017-10-08,6.79382226348215,,,,
2017-10-09,6.79382226348215,,,,
2017-10-10,13.5876445269643,,,,
2017-10-11,13.5876445269643,,,,
2017-10-12,6.79382226348215,,,,
2017-10-13,13.5876445269643,,,,
2017-10-14,6.79382226348215,,,,
2017-10-15,6.79382226348215,,,,
2017-10-16,13.5876445269643,,,,
2017-10-17,13.5876445269643,,,,
2017-10-18,6.79382226348215,,,,
2017-10-19,13.5876445269643,,,,
2017-10-20,13.5876445269643,,,,
2017-10-21,13.5876445269643,,,,
2017-10-22,13.5876445269643,,,,
